uid	Statement Number	Evaluation Block	Statement	Submitter	Source	Target	Generated Question	Rel_1	Rel_2	Rel_3	Relevance	QT_1	QT_2	QT_3	Question Type	Cor_1	Cor_2	Cor_3	Correctness	Amb_1	Amb_2	Amb_3	Ambiguity	Var_1	Var_2	Var_3	Variety
12	2	6	At some very basic level, there are three ways in which businesses can respond to the green imperative.	c	OpenLearn	what	What can respond to the green imperative ? 	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	1	1	1	1.00	3	3	3	3.00
13	2	7	At some very basic level, there are three ways in which businesses can respond to the green imperative.	d	OpenLearn	what	What businesses do to the green imperative? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	1	1	1.33
14	2	7	At some very basic level, there are three ways in which businesses can respond to the green imperative.	d	OpenLearn	what	businesses can respond to what? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	2	1	1	1.33
15	3	8	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	a	OpenLearn	what	2 sources of what is important particularly to ensure a healthy and efficiently functioning brain? 	1	1	1	1.00	1	1	1	1.00	3	2	3	2.67	1	1	1	1.00	2	2	2	2.00
16	3	8	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	a	OpenLearn	what	To ensure a healthy and efficiently functioning brain 2 sources of what are particularly important? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00
17	3	8	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	a	OpenLearn	how many	How much sources of fuel are particularly important to ensure a healthy and efficiently functioning brain, oxygen, and water? 	1	1	1	1.00	2	2	2	2.00	2	3	3	2.67	1	1	1	1.00	2	1	1	1.33
18	3	8	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	a	OpenLearn	how many	How to ensure a healthy and efficiently functioning brain many sources of fuel are particularly important 	2	1	1	1.33	1	2	2	1.67	2	1	3	2.00	2	1	1	1.33	2	1	1	1.33
19	3	9	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	b	OpenLearn	what	What are particularly important to ensure a healthy and efficiently functioning brain? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
20	3	9	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	b	OpenLearn	how many	How many sources of fuel are particularly important to ensure a healthy and efficiently functioning brain? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
21	3	10	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	c	OpenLearn	how many	How many sources of fuel are particularly important to ensure a healthy and efficiently functioning brain -- oxygen and water ? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	3	3	3	3.00
22	3	10	Two sources of fuel are particularly important to ensure a healthy and efficiently functioning brain - oxygen and water.	c	OpenLearn	what	What ensure a healthy and efficiently functioning brain - oxygen and water ? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	3	3	3	3.00
23	4	11	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	a	OpenLearn	where	In 1996 the trust employed over 7,000 staffs and managed another 6 sites where? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	1	1	1.33
24	4	11	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	a	OpenLearn	where	Where did the trust manage another 6 sites? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33
25	4	11	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	a	OpenLearn	when	When <did> the trust employed over 7,000 staffs and managed another 6 sites in Leeds and the surrounding area? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	2	1	1	1.33
26	4	11	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	a	OpenLearn	when	When did the trust manage another 6 sites? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	2	1	1	1.33
27	4	11	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	a	OpenLearn	how many	How many staffs did the trust employ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	2	1	1.33	1	1	1	1.00
28	4	11	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	a	OpenLearn	how many	Another how many sites in Leeds and the surrounding area did the trust manage? 	2	2	1	1.67	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	1	1	1	1.00
29	4	12	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	b	OpenLearn	where	Where did the trust employ over 7,000 staff and manage another six sites? 	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	1	2	1	1.33	1	3	3	2.33
30	4	12	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	b	OpenLearn	when	When did the trust employ over 7,000 staff and manage another six sites in Leeds and the surrounding area? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	3	3	2.33
31	4	12	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	b	OpenLearn	how many	In 1996, the trust employed how many staff and managed another six sites in Leeds and the surrounding area? 	1	1	1	1.00	1	1	1	1.00	1	3	2	2.00	1	1	1	1.00	1	1	1	1.00
32	4	12	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	b	OpenLearn	how many	In 1996, the trust employed 7,000 staff and managed how many sites in Leeds and the surrounding area? 	1	1	1	1.00	1	1	1	1.00	1	3	2	2.00	1	1	1	1.00	1	1	1	1.00
33	4	13	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	c	OpenLearn	when	when the trust employed over 7,000 staff and managed another six sites ? 	2	1	1	1.33	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	1	1	1.33
34	4	13	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	c	OpenLearn	when	when the surrounding area ? 	3	2	2	2.33	1	1	1	1.00	4	4	4	4.00	3	3	3	3.00	2	1	1	1.33
35	4	13	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	c	OpenLearn	where	where in 1996 , the trust employed over 7,000 staff ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
36	4	13	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	c	OpenLearn	where	where managed another six sites ? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	2	3	3	2.67	1	1	1	1.00
37	4	13	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	c	OpenLearn	how many	How many staff the trust employed over ? 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
38	4	13	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	c	OpenLearn	how many	How many sites in Leeds and the surrounding area ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00
39	4	14	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	d	OpenLearn	where	Where did the trust managed another six sites in? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	2	2	2.00
40	4	14	In 1996, the trust employed over 7,000 staff and managed another six sites in Leeds and the surrounding area.	d	OpenLearn	where	the trust managed another six sites in where? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00	2	2	2	2.00
41	5	15	Being able to link computers into networks has enormously boosted their capabilities.	a	OpenLearn	what	To be able to link what enormously has boosted their capabilities? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	2	1.67	1	2	2	1.67
42	5	15	Being able to link computers into networks has enormously boosted their capabilities.	a	OpenLearn	what	What boosted their capabilities? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	2	2	1.67
43	5	16	Being able to link computers into networks has enormously boosted their capabilities.	b	OpenLearn	what	Being able to link computers into what has enormously boosted their capabilities? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00
44	5	16	Being able to link computers into networks has enormously boosted their capabilities.	b	OpenLearn	what	What has enormously boosted their capabilities? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00
45	5	17	Being able to link computers into networks has enormously boosted their capabilities.	c	OpenLearn	what	What boosted their capabilities ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
46	6	18	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	a	OpenLearn	yes/no	Do the codes apply to a range of social care professionals? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	2	2	2	2.00
47	6	18	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	a	OpenLearn	yes/no	The codes do apply to a range of social care professionals, and are non specific to Social Work? 	2	1	1	1.33	1	2	2	1.67	2	1	1	1.33	2	1	3	2.00	2	2	2	2.00
48	6	18	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	a	OpenLearn	what	A range of what do the codes of practice apply to? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	1	1	1.33	2	2	2	2.00
49	6	18	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	a	OpenLearn	what	What do the codes of practice apply to? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00
50	6	19	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	b	OpenLearn	what	What apply to a range of social care professionals? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
51	6	19	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	b	OpenLearn	what	What do the codes of practice apply to? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
52	6	20	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	c	OpenLearn	yes/no	Are The codes of practice apply to a range of social care professionals (including, for example, residential care workers) specific to social work ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	3	3	3	3.00
53	6	21	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	d	OpenLearn	yes/no	Are the codes are not specific to social work? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	2	3	2.33
54	6	21	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	d	OpenLearn	yes/no	Are the codes are not specific? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	2	3	2.33
55	6	21	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	d	OpenLearn	what	What the codes are not? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	2	3	2.33
56	6	21	The codes of practice apply to a range of social care professionals (including, for example, residential care workers) and are not specific to social work.	d	OpenLearn	what	The codes are not what? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	2	3	2.33
57	7	22	The decimal representation of rational numbers has the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater.	a	OpenLearn	why	Why does the decimal representation of Rational Numbers have the advantage if it enables us to decide immediately which of 2 positive distinct Rationalsses is the greater? 	2	2	2	2.00	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	1	1	1	1.00
58	7	22	The decimal representation of rational numbers has the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater.	a	OpenLearn	why	What has the advantage that it enables us to decide immediately which of 2 is the greater? 	2	1	1	1.33	1	2	2	1.67	2	2	2	2.00	2	2	2	2.00	1	1	1	1.00
59	7	23	The decimal representation of rational numbers has the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater.	b	OpenLearn	why	Why has The decimal representation of rational numbers the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater? 	3	2	2	2.33	1	1	1	1.00	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00
60	7	24	The decimal representation of rational numbers has the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater.	c	OpenLearn	why	Why has the decimal representation of rational numbers the advantage ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
61	7	25	The decimal representation of rational numbers has the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater.	d	OpenLearn	why	Why the decimal representation is the greater. of two distinct positive rationals? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
62	7	25	The decimal representation of rational numbers has the advantage that it enables us to decide immediately which of two distinct positive rationals is the greater.	d	OpenLearn	why	Why the decimal representation is the greater? 	3	2	2	2.33	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
63	8	26	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	a	OpenLearn	why	Why as you saw earlier Phrasal Verbsses tend to be commoner than in writing in speech as they are less formal 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	1	1	1.33	2	2	2	2.00
64	8	26	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	a	OpenLearn	why	Why did you see earlier? 	3	2	2	2.33	1	1	1	1.00	2	1	1	1.33	2	3	3	2.67	2	2	2	2.00
65	8	26	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	a	OpenLearn	what	What did you see? 	3	2	3	2.67	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00
66	8	26	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	a	OpenLearn	what	What tend to be commoner than in writing in speech as they are less formal as you saw earlier? 	2	3	3	2.67	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
67	8	27	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	b	OpenLearn	why	Why do phrasal verbs tend to be more common in speech than in writing? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	1	1	1.67
68	8	27	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	b	OpenLearn	what	As you saw earlier, what tend to be more common in speech than in writing as they are less formal? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	1	1	1.67
69	8	28	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	c	OpenLearn	why	Why tend phrasal verbs to be more common in speech than in writing as they are less formal ? 	2	2	2	2.00	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	3	3	3	3.00
70	8	29	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	d	OpenLearn	why	Why they are less formal? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	3	3	2.67	2	1	1	1.33
71	8	29	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	d	OpenLearn	why	Why verbs are less formal? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	2	3	2.33	2	1	1	1.33
72	8	29	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	d	OpenLearn	what	What are less formal? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00
73	8	29	As you saw earlier, phrasal verbs tend to be more common in speech than in writing as they are less formal.	d	OpenLearn	what	What did you see?	2	2	2	2.00	1	1	1	1.00	1	1	1	1.00	3	1	1	1.67	1	1	1	1.00
74	9	30	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	a	OpenLearn	when	10% of 6 Year olds, when has the number of obese children doubled? 	2	2	2	2.00	1	1	1	1.00	3	4	4	3.67	2	1	1	1.33	3	3	3	3.00
75	9	30	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	a	OpenLearn	when	10% of 6 Year olds, when has the number of obese children doubled? 	2	2	2	2.00	1	1	1	1.00	3	4	4	3.67	2	1	1	1.33	3	3	3	3.00
76	9	30	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	a	OpenLearn	what	10% of 6 Year olds, since what time has the number of obese children doubled? 	2	2	2	2.00	1	1	1	1.00	3	4	4	3.67	2	1	1	1.33	2	1	1	1.33
77	9	30	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	a	OpenLearn	what	What has the number of obese children doubled? 	3	3	3	3.00	1	1	1	1.00	3	1	2	2.00	2	2	2	2.00	2	1	1	1.33
78	9	30	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	a	OpenLearn	how many	Since how many of 6 Year olds has the number of obese children doubled? 	2	3	3	2.67	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	3	3	3	3.00
79	9	30	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	a	OpenLearn	how many	Since how many of 6 Year olds has the number of obese children doubled? 	2	3	3	2.67	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	3	3	3	3.00
80	9	31	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	b	OpenLearn	when	When has the number of obese children doubled? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
81	9	31	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	b	OpenLearn	when	When are 10 % of six year olds and 17 % of fifteen year olds classified as obese? 	2	2	2	2.00	1	1	1	1.00	2	1	1	1.33	2	1	1	1.33	1	1	1	1.00
82	9	31	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	b	OpenLearn	what	As what are 10 % of six year olds and 17 % of fifteen year olds now classified? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00
83	9	31	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	b	OpenLearn	how many	10 % of how many year olds and 17 % of fifteen year olds are now classified as obese? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	1	1	1	1.00
84	9	31	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	b	OpenLearn	how many	10 % of six year olds and how many percent of fifteen year olds are now classified as obese? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	1	1	1	1.00
85	9	32	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	c	OpenLearn	when	when the number of obese children has doubled ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	1	2	1.67	2	1	1	1.33
86	9	32	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	c	OpenLearn	when	when 10% of six year olds and 17% of fifteen year olds ? 	1	1	1	1.00	1	1	1	1.00	4	4	4	4.00	3	2	3	2.67	2	1	1	1.33
87	9	32	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	c	OpenLearn	how many	How many The number of obese children has doubled since 1982? 	2	2	2	2.00	1	1	1	1.00	3	3	4	3.33	2	2	3	2.33	3	3	3	3.00
88	9	32	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	c	OpenLearn	what	What percentage % of six year olds and 17 % of fifteen year olds are now classified as obese ? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00
89	9	33	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	d	OpenLearn	when	The number has doubled since when? 	3	3	3	3.00	1	1	1	1.00	2	2	2	2.00	2	3	3	2.67	2	1	1	1.33
90	9	33	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	d	OpenLearn	when	When, 10% are now classified as obese? 	3	2	2	2.33	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	1	1	1.33
91	9	33	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	d	OpenLearn	what	What has doubled since 1982, 10% are now classified as obese? 	1	2	2	1.67	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	2	2	2.00
92	9	33	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	d	OpenLearn	what	What are now classified as obese? 	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	2	2	2	2.00	2	2	2	2.00
93	9	33	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	d	OpenLearn	how many	How many are now classified as obese? 	1	1	1	1.00	1	1	1	1.00	2	1	1	1.33	2	2	2	2.00	2	2	2	2.00
94	9	33	The number of obese children has doubled since 1982, 10% of six year olds and 17% of fifteen year olds are now classified as obese.	d	OpenLearn	how many	1982, how many are now classified as obese? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	2	2	2	2.00
95	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	where	Where did a American institutional economist analyze cultural influences early on consumption? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	2	1	1	1.33	3	3	3	3.00
96	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	where	Where did an institutional American economist analyze cultural influences early on consumption? 	2	2	2	2.00	1	1	1	1.00	3	2	2	2.33	2	1	1	1.33	3	3	3	3.00
97	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	who	Who was an institutional American economist? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	1	1	1	1.00	1	1	1	1.00
98	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	who	Who is Thorstein Veblen? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
99	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	when	When did an institutional American economist analyze cultural influences early on consumption? 	1	2	2	1.67	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	1	1	1	1.00
100	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	when	Early when Thorstein Veblen, a American institutional economist, analyzed cultural influences on consumption? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	1	1	1	1.00
101	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	what	What did an institutional American economist analyze? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	2	2	1.67	2	2	2	2.00
102	10	34	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	a	OpenLearn	what	What did a American institutional economist analyze? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	2	2	1.67	2	2	2	2.00
103	10	35	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	b	OpenLearn	who	Early in the twentieth century, who analysed cultural influences on consumption? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
104	10	35	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	b	OpenLearn	when	When did Thorstein Veblen, an American institutional economist, analyse cultural influences on consumption? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
105	10	35	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	b	OpenLearn	what	Early in the twentieth century, what did Thorstein Veblen analyse? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
106	10	36	Early in the twentieth century, Thorstein Veblen, an American institutional economist, analysed cultural influences on consumption.	c	OpenLearn	who	who analyzed , an American institutional economist , cultural influences on consumption ? 	2	2	2	2.00	1	1	1	1.00	3	4	4	3.67	2	2	2	2.00	3	3	3	3.00
